Vía 247;247;247;;0;Unknown;-;-
Vía 817;817;817;;0;Unknown;-;-
Salida 38;Salida 38;Salida;38;0;Unknown;-;-
Salida 39;Salida 39;Salida;39;0;Unknown;-;-
Salida 40;Salida 40;Salida;40;0;Unknown;-;-
Salida 41;Salida 41;Salida;41;0;Unknown;-;-
Salida 42;Salida 42;Salida;42;0;Unknown;-;-
Salida 43;Salida 43;Salida;43;0;Unknown;-;-
Salida 44;Salida 44;Salida;44;0;Unknown;-;-
Salida 45;Salida 45;Salida;45;0;Unknown;-;-
Salida 46;Salida 46;Salida;46;0;Unknown;-;-
Salida 47;Salida 47;Salida;47;0;Unknown;-;-
Salida 48;Salida 48;Salida;48;0;Unknown;-;-
Salida 49;Salida 49;Salida;49;0;Unknown;-;-
Salida 50;Salida 50;Salida;50;0;Unknown;-;-
Salida 52;Salida 52;Salida;52;0;Unknown;-;-
Salida 53;Salida 53;Salida;53;0;Unknown;-;-
Salida 54;Salida 54;Salida;54;0;Unknown;-;-
Salida 55;Salida 55;Salida;55;0;Unknown;-;-
Salida 56;Salida 56;Salida;56;0;Unknown;-;-
Salida 57;Salida 57;Salida;57;0;Unknown;-;-
Salida 58;Salida 58;Salida;58;0;Unknown;-;-
Salida 59;Salida 59;Salida;59;0;Unknown;-;-
Salida sin número;Salida sin número;Salida;sin;0;Unknown;-;-
Salida 37;Salida 37;Salida;37;0;Unknown;-;-
Salida 51;Salida 51;Salida;51;0;Unknown;-;-
Natural Trail;Natural Trail;Natural;Trail;0;Unknown;-;-
Natural Trail;Natural Trail;Natural;Trail;0;Unknown;-;-
Natural Trail;Natural Trail;Natural;Trail;0;Unknown;-;-
Rain-forest Hiking Trail;Rain-forest Hiking Trail;Rain-forest;Hiking;0;Unknown;-;-
Camino a La Pavona;a La Pavona;a;La;0;Unknown;-;-
Salida 28;Salida 28;Salida;28;0;Unknown;-;-
Salida 29;Salida 29;Salida;29;0;Unknown;-;-
Salida 30;Salida 30;Salida;30;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Calle 15;15;15;;0;Unknown;-;-
Vía 814;814;814;;0;Unknown;-;-
Vía 248;248;248;;0;Unknown;-;-
Calle 19;19;19;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 5;5;5;;0;Unknown;-;-
Avenida 4;4;4;;0;Unknown;-;-
Calle 7;7;7;;0;Unknown;-;-
Avenida 19;19;19;;0;Unknown;-;-
Calle 9;9;9;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Avenida 7A;7A;7A;;0;Unknown;-;-
Calle Central;Central;Central;;0;Unknown;-;-
Avenida 5;5;5;;0;Unknown;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Carretera Braulio Carrillo;Carretera Braulio Carrillo;Carretera;Braulio;-2;Male;-;-
Avenida 3;3;3;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 2;2;2;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Calle 12;12;12;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Avenida 17;17;17;;0;Unknown;-;-
Avenida 15;15;15;;0;Unknown;-;-
Calle 10;10;10;;0;Unknown;-;-
Calle Tablón;Tablón;Tablón;;0;Unknown;-;-
Calle San Antonio;San Antonio;San;Antonio;-2;Male;-;-
Avenida 17;17;17;;0;Unknown;-;-
Calle 20;20;20;;0;Unknown;-;-
Calle Las FLores;Las FLores;Las;FLores;2;Female;-;-
Calle Carmona;Carmona;Carmona;;0;Unknown;-;-
Vía 809;809;809;;0;Unknown;-;-
Vía 249;249;249;;0;Unknown;-;-
Calle 2;2;2;;0;Unknown;-;-
Avenida 31;31;31;;0;Unknown;-;-
Calle 8;8;8;;0;Unknown;-;-
Avenida 21;21;21;;0;Unknown;-;-
Calle Piedra;Piedra;Piedra;;0;Unknown;-;-
Calle La Conga;La Conga;La;Conga;0;Unknown;-;-
Calle 15A;15A;15A;;0;Unknown;-;-
Calle 3;3;3;;0;Unknown;-;-
Avenida 33;33;33;;0;Unknown;-;-
Calle La Trocha;La Trocha;La;Trocha;0;Unknown;-;-
Calle la Emilia;la Emilia;la;Emilia;2;Female;-;-
Calle Las Palmeras;Las Palmeras;Las;Palmeras;0;Unknown;-;-
Calle 11;11;11;;0;Unknown;-;-
Calle 5A;5A;5A;;0;Unknown;-;-
Avenida Central;Central;Central;;0;Unknown;-;-
Calle 11;11;11;;0;Unknown;-;-
Calle 1;1;1;;0;Unknown;-;-
Calle 40;40;40;;0;Unknown;-;-
Avenida 11;11;11;;0;Unknown;-;-
Calle 38A;38A;38A;;0;Unknown;-;-
Avenida 12;12;12;;0;Unknown;-;-
Avenida 22;22;22;;0;Unknown;-;-
